review_id,model_name,created_at,total_duration_ns,load_duration_ns,prompt_eval_duration_ns,generation_duration_ns,input_token_count,output_token_count
4h_zH2bD7dgzODtdfs9goQ,llama3.2,2026-06-25T23:01:04.058534Z,7777929500,98821250,2167825000,5507966000,1322,164
TgIRQGNQqvRu-KNgUFl-Mg,llama3.2,2026-06-25T23:01:08.872974Z,4809807250,98917667,419115000,4289116000,993,128
DO1I5O-HaEORpjCeNdHfWQ,llama3.2,2026-06-25T23:01:14.462998Z,5585029375,99147500,751465000,4731546000,1060,146
ghwW8VXK63j2fejBOh0jSw,llama3.2,2026-06-25T23:01:21.406698Z,6938949000,98675000,1876921000,4960248000,1261,146
gptnw2UR2Y5RnXxRcm4hpw,llama3.2,2026-06-25T23:01:26.247344Z,4835906459,100056750,424380000,4308355000,990,136
KkCjQ5SuGBPUZXGLmmf9Lw,llama3.2,2026-06-25T23:01:30.7557Z,4503932084,98935375,350628000,4051986000,961,120
8Fx7_ZEKVJxcjhJuR48_bw,llama3.2,2026-06-25T23:01:35.224353Z,4463926750,98593625,577781000,3784656000,1009,112
X23GYSQzjR3Vv-grn6Y2-w,llama3.2,2026-06-25T23:01:40.277269Z,5047615750,97948125,414612000,4532032000,968,137
n0dIAfYQ8W50lUPLa6lBAw,llama3.2,2026-06-25T23:01:44.507738Z,4226584542,98779625,192491000,3932985000,927,114
c5DULqBBeyn58AqKycaPMw,llama3.2,2026-06-25T23:01:49.044394Z,4533497709,98550709,276776000,4155738000,948,122
1DJHDOwbLEQu2fHYv4El9g,llama3.2,2026-06-25T23:01:53.766945Z,4717980084,99529875,929119000,3686127000,1079,117
vDKsRkb39GuYfI0L3qbERg,llama3.2,2026-06-25T23:01:57.951172Z,4179147208,99035167,332354000,3745404000,944,111
9QKUz1dZwXkgedYS5Y7s1Q,llama3.2,2026-06-25T23:02:02.152131Z,4196887458,99463708,340916000,3754424000,951,112
JI2JvssIEKze5qWwUryVjQ,llama3.2,2026-06-25T23:02:07.717394Z,5560132083,98806166,943554000,4514535000,1093,132
1q2dv9fLSswRN5KTtd-vhw,llama3.2,2026-06-25T23:02:14.08917Z,6367329458,100305667,1508717000,4754990000,1220,141
jpJGfrg0kjFzH1-sW4LUDw,llama3.2,2026-06-25T23:02:18.598939Z,4504449125,100109958,285968000,4115439000,966,121
